Date,BTC-USD
2010-01-01,0.01
2010-02-01,0.01
2010-03-01,0.01
2010-04-01,0.01
2010-05-01,0.02
2010-06-01,0.03
2010-07-01,0.04
2010-08-01,0.05
2010-09-01,0.06
2010-10-01,0.08
2010-11-01,0.26
2010-12-01,0.22
2011-01-01,0.31
2011-02-01,0.75
2011-03-01,0.91
2011-04-01,0.73
2011-05-01,3.47
2011-06-01,12.51
2011-07-01,14.27
2011-08-01,9.91
2011-09-01,8.50
2011-10-01,4.57
2011-11-01,3.12
2011-12-01,2.87
2012-01-01,6.18
2012-02-01,5.81
2012-03-01,4.82
2012-04-01,4.88
2012-05-01,5.05
2012-06-01,5.19
2012-07-01,6.66
2012-08-01,10.19
2012-09-01,10.88
2012-10-01,12.57
2012-11-01,10.57
2012-12-01,13.30
2013-01-01,13.41
2013-02-01,19.87
2013-03-01,42.36
2013-04-01,133.77
2013-05-01,118.98
2013-06-01,128.63
2013-07-01,76.08
2013-08-01,96.35
2013-09-01,121.15
2013-10-01,124.30466
2013-11-01,196.02499
2013-12-01,1154.92593
2014-01-01,744.17249
2014-02-01,841.48914
2014-03-01,567.2925
2014-04-01,472.4783
2014-05-01,444.85668
2014-06-01,612.12666
2014-07-01,597.51333
2014-08-01,564.57
2014-09-01,502.055
2014-10-01,376.08375
2014-11-01,343.55875
2014-12-01,376.851
2015-01-01,309.903
2015-02-01,226.94116
2015-03-01,251.03416
2015-04-01,247.2639
2015-05-01,225.9976
2015-06-01,233.3328
2015-07-01,258.38549
2015-08-01,286.74491
2015-09-01,227.18083
2015-10-01,238.06125
2015-11-01,327.58425
2015-12-01,375.204
2016-01-01,424.962
2016-02-01,378.174
2016-03-01,438.28
2016-04-01,414.458
2016-05-01,454.375
2016-06-01,537.23299
2016-07-01,635.093
2016-08-01,635.588
2016-09-01,573.78125
2016-10-01,604.52125
2016-11-01,693.89625
2016-12-01,731.64
2017-01-01,952.455
2017-02-01,921.35125
2017-03-01,1189.94699
2017-04-01,1048.86299
2017-05-01,1311.58874
2017-06-01,2170.98124
2017-07-01,2547.3225
2017-08-01,2718.6175
2017-09-01,4676.1425
2017-10-01,4207.825
2017-11-01,6130.56375
2017-12-01,10542.6625
2018-01-01,13062.145
2018-02-01,9914.4725
2018-03-01,10903.01875
2018-04-01,6970.36375
2018-05-01,9268.7175
2018-06-01,7540.8105222724
2018-07-01,6185.1036638459
2018-08-01,8166.688399445899
2018-09-01,6938.7629415769
2018-10-01,6576.6160829094
2018-11-01,6276.7346706838
2018-12-01,3953.5214624664
2019-02-01,3434.5218470936998
2019-03-01,3773.4414607526
2019-04-01,4081.2216046987
2019-05-01,5155.6172833984
2019-06-01,8285.496393539599
2019-07-01,12024.094522163601
2019-08-01,9572.7384640587
2019-09-01,9580.7613524785
2019-10-01,8055.6941385794
2019-11-01,9225.9977687797
2019-12-01,7748.3354868446995
2020-01-01,7251.2778875377
2020-02-01,9548.5453758381
2020-03-01,8778.4673162913
2020-04-01,6483.6170416022
2020-05-01,8768.0471796589
2020-06-01,9688.5399317488
2020-07-01,9188.0374007629
2020-08-01,11112.4211580953
2020-09-01,11712.9726181329
2020-10-01,10843.3882629583
